x: -0.16, y: 0.04, b: 0.050000 
x: -0.16, y: 0.06, b: 0.050000 
x: -0.16, y: 0.08, b: 0.050000 
x: -0.16, y: 0.10, b: 0.050000 
x: -0.16, y: 0.12, b: 0.050000 
x: -0.16, y: 0.14, b: 0.063631 
x: -0.16, y: 0.16, b: 0.159709 
x: -0.16, y: 0.18, b: 0.276390 
x: -0.16, y: 0.20, b: 0.459471 
x: -0.15, y: -0.20, b: 0.050000 
x: -0.15, y: -0.18, b: 0.050000 
x: -0.15, y: -0.16, b: 0.050000 
x: -0.15, y: -0.14, b: 0.050000 
x: -0.15, y: -0.12, b: 0.050000 
x: -0.15, y: -0.10, b: 0.050000 
x: -0.15, y: -0.08, b: 0.050000 
x: -0.15, y: -0.06, b: 0.050000 
x: -0.15, y: -0.04, b: 0.050000 
x: -0.15, y: -0.02, b: 0.050000 
x: -0.15, y: 0.00, b: 0.050000 
x: -0.15, y: 0.02, b: 0.050000 
x: -0.15, y: 0.04, b: 0.050000 
x: -0.15, y: 0.06, b: 0.050000 
x: -0.15, y: 0.08, b: 0.050000 
x: -0.15, y: 0.10, b: 0.050000 
x: -0.15, y: 0.12, b: 0.050000 
x: -0.15, y: 0.14, b: 0.050000 
x: -0.15, y: 0.16, b: 0.141572 
x: -0.15, y: 0.18, b: 0.250621 
x: -0.15, y: 0.20, b: 0.397397 
x: -0.14, y: -0.20, b: 0.050000 
x: -0.14, y: -0.18, b: 0.050000 
x: -0.14, y: -0.16, b: 0.050000 
x: -0.14, y: -0.14, b: 0.050000 
x: -0.14, y: -0.12, b: 0.050000 
x: -0.14, y: -0.10, b: 0.050000 
x: -0.14, y: -0.08, b: 0.050000 
x: -0.14, y: -0.06, b: 0.050000 
x: -0.14, y: -0.04, b: 0.050000 
x: -0.14, y: -0.02, b: 0.050000 
x: -0.14, y: 0.00, b: 0.050000 
x: -0.14, y: 0.02, b: 0.050000 
x: -0.14, y: 0.04, b: 0.050000 
x: -0.14, y: 0.06, b: 0.050000 
x: -0.14, y: 0.08, b: 0.050000 
x: -0.14, y: 0.10, b: 0.050000 
x: -0.14, y: 0.12, b: 0.050000 
x: -0.14, y: 0.14, b: 0.050000 
x: -0.14, y: 0.16, b: 0.126197 
x: -0.14, y: 0.18, b: 0.229889 
x: -0.14, y: 0.20, b: 0.360988 
x: -0.13, y: -0.22, b: 0.050000 
x: -0.13, y: -0.20, b: 0.050000 
x: -0.13, y: -0.18, b: 0.050000 
x: -0.13, y: -0.16, b: 0.050000 
x: -0.13, y: -0.14, b: 0.050000 
x: -0.13, y: -0.12, b: 0.050000 
x: -0.13, y: -0.10, b: 0.050000 
x: -0.13, y: -0.08, b: 0.050000 
x: -0.13, y: -0.06, b: 0.050000 
x: -0.13, y: -0.04, b: 0.050000 
x: -0.13, y: -0.02, b: 0.050000 
x: -0.13, y: 0.00, b: 0.050000 
x: -0.13, y: 0.02, b: 0.050000 
x: -0.13, y: 0.04, b: 0.050000 
x: -0.13, y: 0.06, b: 0.050000 
x: -0.13, y: 0.08, b: 0.050000 
x: -0.13, y: 0.10, b: 0.050000 
x: -0.13, y: 0.12, b: 0.050000 
x: -0.13, y: 0.14, b: 0.050000 
x: -0.13, y: 0.16, b: 0.113288 
x: -0.13, y: 0.18, b: 0.212652 
x: -0.13, y: 0.20, b: 0.334723 
x: -0.13, y: 0.22, b: 0.525008 
x: -0.12, y: -0.22, b: 0.050000 
x: -0.12, y: -0.20, b: 0.050000 
x: -0.12, y: -0.18, b: 0.050000 
x: -0.12, y: -0.16, b: 0.050000 
x: -0.12, y: -0.14, b: 0.050000 
x: -0.12, y: -0.12, b: 0.050000 
x: -0.12, y: -0.10, b: 0.050000 
x: -0.12, y: -0.08, b: 0.050000 
